SUBSCRIBER_ID,TENURE,MONTHLY_CHARGES,TOTAL_CHARGES,CONTRACT_TYPE,PAYMENT_METHOD,WAIVER_ACTIVE,SUPPORT_CALLS,CHURN
6083147,84,1525.37,128131.08,Postpaid,Credit Card,Yes,12,0
6039502,17,8456.92,143767.64,Prepaid,Cash,No,0,0
6091764,63,3278.45,206542.35,Prepaid,Credit Card,Yes,7,1
6004829,119,14925.68,1776155.92,Prepaid,Bank Transfer,Yes,NULL,0
6057318,45,762.19,34298.55,Postpaid,Credit Card,NULL,23,1
6028640,8,5214.83,41718.64,Postpaid,Cash,No,5,0
6071953,96,11275.46,1082444.16,Prepaid,Cheque,Yes,18,0
6040286,32,1896.75,60696,Postpaid,Credit Card,No,42,1
6095431,71,6758.29,479838.59,Prepaid,Credit Card,Yes,3,0
6018375,54,14325.91,773599.14,Prepaid,Bank Transfer,Yes,31,0
6062498,12,982.54,11790.48,Prepaid,Cash,No,15,1
6009134,107,4518.66,483496.62,Prepaid,Credit Card,Yes,NULL,0
6076521,39,8207.35,320086.65,Postpaid,Cheque,NULL,9,1
6048713,28,NULL,#VALUE!,Postpaid,Credit Card,Yes,27,0
6032849,88,15624.78,1374980.64,Prepaid,Cash,No,1,0
6089051,5,2756.42,13782.1,Postpaid,Credit Card,Yes,36,1
6051472,116,9214.96,1068935.36,Prepaid,Bank Transfer,Yes,22,0
6025308,67,6418.25,430022.75,Postpaid,Credit Card,No,8,0
6096815,22,11835.74,260386.28,Prepaid,Cash,No,45,1
6010947,94,3762.89,353711.66,Prepaid,Credit Card,Yes,14,0
6074382,41,13258.33,543591.53,Prepaid,Cheque,NULL,NULL,0
6043169,13,2165.71,28154.23,Prepaid,Bank Transfer,Yes,6,1
6037251,75,7912.54,593440.5,Postpaid,Credit Card,No,19,0
6068043,58,10475.86,607599.88,Prepaid,Cash,Yes,33,1
6005719,101,5618.39,567457.39,Prepaid,Credit Card,Yes,2,0
6092486,26,14902.57,387466.82,Prepaid,Credit Card,No,50,0
6029174,83,854.63,70934.29,Postpaid,Cash,Yes,11,1
6084625,19,4665.28,88640.32,Postpaid,Bank Transfer,NULL,25,0
6053981,110,12782.95,1406124.5,Prepaid,Cheque,No,4,1
6017460,47,9321.44,438107.68,Prepaid,Credit Card,Yes,38,0
6071895,6,3124.86,18749.16,Prepaid,Cash,Yes,17,0
6046502,91,6765.19,615632.29,Postpaid,Credit Card,No,29,1
6039187,35,14125.73,494400.55,Prepaid,Bank Transfer,Yes,0,0
6062315,69,2268.54,156529.26,Postpaid,Credit Card,No,21,0
6008459,24,9805.62,235334.88,Postpaid,Cash,Yes,NULL,1
6095732,118,5425.37,640193.66,Prepaid,Cheque,NULL,13,0
6024068,52,11684.91,607615.32,Postpaid,Credit Card,Yes,47,1
6081974,15,7216.48,108247.2,Postpaid,Credit Card,No,8,0
6058206,80,13525.67,1082053.6,Postpaid,Bank Transfer,Yes,34,0
6013598,43,1765.38,75911.34,Prepaid,Cash,Yes,16,1
6079453,98,8914.75,873645.5,Prepaid,Credit Card,No,3,0
6041075,31,4218.29,130766.99,Prepaid,Cheque,NULL,41,0
6036412,64,15262.43,976795.52,Prepaid,Credit Card,Yes,24,1
6065894,9,6235.86,56122.74,Prepaid,Cash,No,10,0
6002748,112,11024.57,1234751.84,Prepaid,Credit Card,Yes,NULL,1
6098321,57,3675.92,209527.44,Postpaid,Bank Transfer,Yes,28,0
6027586,20,13782.64,275652.8,Postpaid,Cash,No,6,0
6080149,86,2524.35,217094.1,Prepaid,Credit Card,Yes,35,1
6052673,37,8165.78,302133.86,Prepaid,Cheque,No,20,0
6019805,104,14718.26,1530699.04,Prepaid,Credit Card,NULL,44,1
6073148,11,956.49,10521.39,Postpaid,Cash,Yes,15,0
6045962,73,5825.73,425278.29,Prepaid,Bank Transfer,Yes,1,0
6031704,49,10268.54,503158.46,Postpaid,Credit Card,No,32,1
6067289,2,3321.87,6643.74,Prepaid,Credit Card,Yes,9,0
6004395,120,12624.69,1514962.8,Postpaid,Cash,No,26,0
6091568,61,7125.36,434646.96,Prepaid,Cheque,Yes,48,1
6028431,27,15482.57,418029.39,Postpaid,Credit Card,NULL,4,0
6086750,95,1968.42,186999.9,Prepaid,Bank Transfer,No,18,1
6059047,14,8725.91,122162.74,Postpaid,Cash,Yes,NULL,0
6012843,82,4924.68,403823.76,Postpaid,Credit Card,Yes,30,0
6075319,55,11962.35,657929.25,Prepaid,Credit Card,No,12,1
6048625,7,6525.84,45680.88,Prepaid,Cheque,Yes,39,0
6034970,109,14518.92,1582562.28,Postpaid,Cash,Yes,7,0
6061458,34,2865.73,97434.82,Prepaid,Bank Transfer,No,22,1
6007183,66,9318.46,615018.36,Prepaid,Credit Card,NULL,5,0
6093245,18,11235.79,202244.22,Prepaid,Cash,Yes,46,1
6020617,90,5275.26,474773.4,Prepaid,Credit Card,No,14,0
6089534,42,13824.61,580633.62,Postpaid,Credit Card,Yes,27,0
6056328,105,1624.83,170607.15,Postpaid,Bank Transfer,No,0,1
6014759,23,7625.94,175396.62,Prepaid,Cheque,Yes,37,0
